internal_drug_id,entity_status,name_candidate,name_source,name_resolution_status,rxnorm_match_status,rxnorm_match_method,rxcui,rxnorm_name,rxnorm_synonym,rxnorm_tty,rxnorm_language,match_score,enrichment_confidence,api_status,error_message
DRUG_000163,CONFIRMED_INTEGRATED_ENTITY,Codeine,pubchem_inchikey_lookup,PUBCHEM_TITLE_CANDIDATE,HIGH_EXACT,exact_identifier_based,1545976,codeine anhydrous,,PIN,ENG,100.0,HIGH_EXACT,success,
DRUG_000164,CONFIRMED_INTEGRATED_ENTITY,Piperacillin,pubchem_inchikey_lookup,PUBCHEM_TITLE_CANDIDATE,HIGH_EXACT,exact_identifier_based,1546000,piperacillin anhydrous,,PIN,ENG,100.0,HIGH_EXACT,success,
DRUG_000165,CONFIRMED_INTEGRATED_ENTITY,dihydroergotamine,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,3418,dihydroergotamine,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000166,CONFIRMED_INTEGRATED_ENTITY,amitriptyline,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,704,amitriptyline,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000167,CONFIRMED_INTEGRATED_ENTITY,floxuridine,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,4488,floxuridine,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000168,CONFIRMED_INTEGRATED_ENTITY,tolcapone,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,72937,tolcapone,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000169,CONFIRMED_INTEGRATED_ENTITY,fluorometholone,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,4491,fluorometholone,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000170,CONFIRMED_INTEGRATED_ENTITY,nitroprusside,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,7476,nitroprusside,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000171,CONFIRMED_INTEGRATED_ENTITY,calcium gluceptate,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,47618,calcium gluceptate,calcium glucoheptonate,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000172,CONFIRMED_INTEGRATED_ENTITY,hydromorphone,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,3423,hydromorphone,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000173,CONFIRMED_INTEGRATED_ENTITY,indomethacin,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,5781,indomethacin,indometacin,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000174,CONFIRMED_INTEGRATED_ENTITY,ethambutol,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,4110,ethambutol,,IN,ENG,100.0,HIGH_EXACT,success,
