internal_drug_id,query_name,candidate_rxcui,candidate_name,candidate_tty,match_method,match_score,selected_as_final,selection_reason
DRUG_000490,tamoxifen,10324,tamoxifen,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000492,losartan,52175,losartan,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000497,midazolam,6960,midazolam,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000498,tobramycin,10627,tobramycin,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000504,flurazepam,4501,flurazepam,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000505,moexipril,30131,moexipril,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000508,furosemide,4603,furosemide,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000510,tizanidine,57258,tizanidine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000513,eplerenone,298869,eplerenone,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000514,amprenavir,228656,amprenavir,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000516,naltrexone,7243,naltrexone,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000518,tamsulosin,77492,tamsulosin,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000519,sufentanil,56795,sufentanil,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000520,lamivudine,68244,lamivudine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000521,Ibandronate,115264,ibandronate,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000523,flurbiprofen,4502,flurbiprofen,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000525,apomorphine,1043,apomorphine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000526,paroxetine,32937,paroxetine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000527,norethindrone,7514,norethindrone,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000528,adefovir dipivoxil,141400,adefovir dipivoxil,PIN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000534,imiquimod,59943,imiquimod,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000535,trimipramine,10834,trimipramine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000536,nitroglycerin,4917,nitroglycerin,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000537,rocuronium,68139,rocuronium,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000542,Atracurium Besylate,1219,atracurium besylate,PIN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000543,risperidone,35636,risperidone,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000546,meclizine,6676,meclizine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000548,riluzole,35623,riluzole,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000549,hydrocortisone,5492,hydrocortisone,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000550,mannitol,6628,mannitol,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000555,Modafinil,30125,modafinil,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000556,deferoxamine,3131,deferoxamine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000559,etodolac,24605,etodolac,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000562,tranylcypromine,10734,tranylcypromine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000563,isoflurane,6026,isoflurane,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000565,dolasetron,68091,dolasetron,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000566,clopidogrel,32968,clopidogrel,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000569,potassium chloride,8591,potassium chloride,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000570,irinotecan,51499,irinotecan,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000571,methimazole,6835,methimazole,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000572,mometasone,108118,mometasone,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000575,olopatadine,135391,olopatadine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000577,alprostadil,598,alprostadil,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000580,etoposide,4179,etoposide,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000582,tirofiban,73137,tirofiban,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000583,oxcarbazepine,32624,oxcarbazepine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000586,phenelzine,8123,phenelzine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000589,estradiol,4083,estradiol,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000590,mefenamic acid,6693,mefenamic acid,PIN,exact_name_lookup,100.0,1,Top matching score candidate
